"person_id","label_phoneme","sector_id","channel","DTW_1_AR1","DTW_1_AR2","DTW_1_AR3","DTW_1_AR4","DTW_1_MAD","DTW_1_STD","DTW_2_AR1","DTW_2_AR2","DTW_2_AR3","DTW_2_AR4","DTW_2_MAD","DTW_2_STD","DTW_3_AR1","DTW_3_AR2","DTW_3_AR3","DTW_3_AR4","DTW_3_MAD","DTW_3_STD","DTW_4_AR1","DTW_4_AR2","DTW_4_AR3","DTW_4_AR4","DTW_4_MAD","DTW_4_STD"
3,0,78,"EEG C3-A1",1.4606526039432223e-07,2.530760023019425,-2.132508217359666,0.5906607219021618,6.662171284934861e-06,1.006562191885937e-05,1.6886207019273693e-07,2.6988505587399763,-2.6365527190669336,0.929017573880925,9.294193199412444e-06,1.4198536136444951e-05,2.110037418275395e-06,2.013115548498119,-1.88187477047137,0.7967943851206392,1.3218460619397704e-05,2.0103151581624206e-05,1.689113152948526e-05,0.6210304445704387,-0.40048718627199115,0.36210482360761276,1.5645055063577067e-05,2.8242298202085548e-05
3,0,78,"EEG Oz-A2",3.6747094260886943e-08,2.0491354411363054,-1.184911050508981,0.12550072473542698,4.138404828389192e-06,6.2643578158084875e-06,3.161113891483005e-08,2.6091431838582686,-2.477214765302991,0.8618786382444619,5.819085918824903e-06,8.858363565476465e-06,2.3883263057747073e-07,1.9282863290719714,-1.7079495678225263,0.7445390692673731,8.629892279242197e-06,1.2537384996111286e-05,1.4877164090267174e-06,0.8006792238074607,-0.2703785539198021,0.3055361556835206,1.1975887834250267e-05,1.757574209936558e-05
3,0,78,"EEG Fpz-A2",6.336630006755637e-08,2.3963721900856227,-1.8834930415737279,0.47207076065504283,4.622502146897378e-06,7.434665836810453e-06,1.4281389692213294e-07,2.4553619119372048,-2.2126660771857956,0.7337375042337667,6.486327309925611e-06,1.0533280164786426e-05,2.1130594045345035e-07,1.8399611712677646,-1.640745197489978,0.7319729576668138,1.1041279416387778e-05,1.5177438604444982e-05,2.2385227979745007e-07,0.6529832273812598,-0.3032749715391478,0.4522846991867062,1.4218148727706503e-05,2.1847440370037662e-05
3,2,79,"EEG F7-A1",9.833636379459741e-08,2.410947297287206,-1.876736983543935,0.46268378525310433,1.5689915950546297e-05,1.9632972804784546e-05,1.9646852049287925e-07,2.5458589868587262,-2.275504731399103,0.7248157950186903,2.203231472387793e-05,2.7737403741518356e-05,1.6435912360394722e-06,2.125895516366202,-1.8468665576507153,0.6985060390939699,3.0873902927878015e-05,3.900996601950025e-05,9.731738645410735e-06,1.209153834937884,-0.6679210959407078,0.35462324312303595,4.1908763083238185e-05,5.4419442022112565e-05
3,2,79,"EEG F3-A1",-2.611311438577025e-07,2.4721810753787303,-1.9956377220359234,0.5191134068889729,1.4408988225244849e-05,1.763322203510484e-05,-4.910195673480898e-07,2.637373046491959,-2.448056525875293,0.8049432206902842,2.0094355043797423e-05,2.5041636144200372e-05,-3.189942779375724e-06,2.1870789881899935,-1.985015379490747,0.7684022238895548,2.898809356201816e-05,3.555470648263461e-05,-2.4558863894876626e-05,1.1116485002586254,-0.6909515785686714,0.4281092440472106,4.1743143228512746e-05,5.039583625089133e-05
3,2,79,"EEG T3-A1",-5.847043749490298e-07,2.3239140986864304,-1.7236646952601251,0.39140759297140826,7.303995599522591e-06,9.976067946627053e-06,-7.818114932437938e-07,2.5472095854998935,-2.354518092501102,0.7992458729862176,1.1112097989704646e-05,1.4096093197060694e-05,-3.482265366047158e-06,1.9060317380489884,-1.6613600963644557,0.7268775246428245,1.6871036033010677e-05,1.992454107908222e-05,-3.4540749905374266e-05,0.8343680925241123,-0.23304108269287874,0.21726188634507487,2.379196250766369e-05,2.7940637381079814e-05
3,2,79,"EEG C3-A1",-5.6305577109597e-07,2.4841318621215223,-2.0154849639132677,0.5253975387598171,8.317025482093427e-06,1.4897878754568938e-05,-7.213483597510124e-07,2.7297301169357593,-2.6367175762844726,0.9013688550012267,1.2107946790210981e-05,2.1193867708636004e-05,-7.1136233372887995e-06,2.0774079227211257,-1.8058998926167877,0.6875535187210964,1.7428309345861803e-05,3.027028990341054e-05,-5.7035888032881115e-05,1.0879465511149924,-0.5904907146102754,0.28156985657177924,2.554343389545724e-05,4.332612733480657e-05
3,2,79,"EEG Oz-A2",-2.663270801324106e-07,2.3913573703279596,-1.8549258627656855,0.45823472677611005,9.087775222538052e-06,1.253329682896531e-05,-7.892240195278294e-08,2.589233321272135,-2.422477231046866,0.8310436379062481,1.3014708487924193e-05,1.7922721472628817e-05,-2.40381111632344e-07,1.9793151332634853,-1.7387148051491201,0.7479893936411648,1.9729651728775047e-05,2.618725002372861e-05,-5.906223941845137e-06,0.9406039229631117,-0.33656499937571027,0.3265278900490981,2.7674834315184274e-05,3.894274542659583e-05
3,2,79,"EEG Fpz-A2",3.8060646623890396e-07,2.62682335804299,-2.345976259406263,0.7079626746299961,5.749499188287759e-06,1.0014598350690763e-05,6.790081539329971e-07,2.5968039595033394,-2.5155031042310267,0.9039766334125445,8.077388597738153e-06,1.4078323151466884e-05,6.764117003423672e-06,1.746057262406397,-1.6370850196976685,0.7901043020143695,1.0604818206572016e-05,1.9616127113034433e-05,4.5050623274118735e-05,0.23817724302889637,-0.06493740789257468,0.35510125516901053,1.3784832708759702e-05,2.6137811506616276e-05
3,5,80,"EEG F7-A1",2.364035219978021e-08,2.6125541726609693,-2.2852359319671094,0.6715173498737561,1.3058075985748027e-05,2.3024176722920326e-05,5.628555589092175e-09,2.6583291466985477,-2.531204795041249,0.8719288688244592,1.8291802685025728e-05,3.2453827769793203e-05,1.6110543137090163e-07,2.0285938882605588,-1.7202845670560554,0.6821168900696997,2.4792170041363872e-05,4.58838148359991e-05,6.36562297212504e-06,1.1256250843717557,-0.15778766823287654,-0.06861162786711879,3.319226008667595e-05,6.463491615770061e-05
3,5,80,"EEG F3-A1",-2.2855666988553448e-08,2.658120294154565,-2.3792929544877945,0.7199714429279545,2.0238651657228316e-05,2.3855131877073045e-05,-4.223328500399718e-08,2.5998113833548433,-2.429194023794319,0.8245551427539277,2.839915881881917e-05,3.3719232984152635e-05,-4.183745413419947e-07,1.9948357430320458,-1.708754854977757,0.6904833863367599,3.5706063195507915e-05,4.75344372557165e-05,-4.331505561304559e-06,1.0489158416967654,-0.2831923143266688,0.10908870676676924,4.680176255332733e-05,6.649394449705849e-05
