"person_id","label_phoneme","sector_id","channel","DTW_1_AR1","DTW_1_AR2","DTW_1_AR3","DTW_1_AR4","DTW_1_AR5","DTW_1_AR6","DTW_1_MAD","DTW_1_STD","DTW_2_AR1","DTW_2_AR2","DTW_2_AR3","DTW_2_AR4","DTW_2_AR5","DTW_2_AR6","DTW_2_MAD","DTW_2_STD","DTW_3_AR1","DTW_3_AR2","DTW_3_AR3","DTW_3_AR4","DTW_3_AR5","DTW_3_AR6","DTW_3_MAD","DTW_3_STD","DTW_4_AR1","DTW_4_AR2","DTW_4_AR3","DTW_4_AR4","DTW_4_AR5","DTW_4_AR6","DTW_4_MAD","DTW_4_STD"
4,3,85,"EEG C3-A1",2.006703266763176e-08,2.105905792059621,-0.7065019316561657,-0.8266504032095506,0.26511474558059117,0.16061305682051802,1.1800476177887918e-05,1.7183015939687065e-05,2.8856068895472937e-07,3.2078140220155476,-3.7619559566176797,1.5207004506988184,0.3592278764533212,-0.33947191239792307,1.683007798447568e-05,2.4307880907000315e-05,8.4019766421465e-07,3.1768494505499367,-4.872917233064925,4.549671131529627,-2.5681612185528877,0.682780386480224,2.5142481075362358e-05,3.478389956474562e-05,9.704499243248857e-06,1.1145230651047415,-0.7678193688268699,0.5079623247902133,-0.6104354635599746,0.503113335774421,3.740102222981308e-05,4.990271365067502e-05
4,3,85,"EEG Oz-A2",4.545120132404694e-08,1.999759396065863,-0.6086760797516674,-0.544246728121385,-0.1687402641230605,0.32056371179601084,5.796974147455871e-06,1.5705178654904133e-05,2.2215939921571183e-07,3.1461878500925295,-3.647835727945149,1.622847290392051,0.04181882073765486,-0.16753661226858596,7.913353687811755e-06,2.2085132360969654e-05,2.4553069641943596e-06,3.018773677284424,-4.202300596108135,3.342902972967299,-1.426788714237027,0.23060381091959936,1.1767783161258037e-05,3.08530492446436e-05,8.324611524938506e-06,1.4846118814756646,-1.282460389257899,1.1992719670701697,-1.0937256476159771,0.6313422131042578,1.651086964923233e-05,4.257274128579052e-05
4,3,85,"EEG Fpz-A2",1.7650262951239427e-07,2.038062705189048,-0.6368809536022816,-0.721483094886675,0.08945825655407907,0.2284550883978841,6.387492231628435e-06,1.1482234439696781e-05,2.080393505016302e-06,2.9189691512711633,-2.8820282722089843,0.42472858692158866,1.03653476054577,-0.5177842491088462,9.391734844985879e-06,1.6145317045153245e-05,7.734351754040823e-06,2.9475541965794965,-4.348047228335741,4.06017106295339,-2.366617495686947,0.6548747409321218,1.2179286150099241e-05,2.2629808630536855e-05,0.00010444024803451846,0.89888928766391,-0.47983600146515176,0.10086739902393237,-0.21099290392669098,0.1989202374403875,1.6349953365016166e-05,3.121926025442468e-05
4,5,86,"EEG F7-A1",-8.21566944977972e-08,2.201050311918793,-0.8940194652695307,-0.9696510224852865,0.6943265342594044,-0.03533016175015442,7.053689509352386e-06,1.057105117629743e-05,-6.134656925501531e-07,3.313602080600572,-4.458584701539701,2.8666934888039206,-0.7291956735381725,-0.012282627311747105,1.0163776828559332e-05,1.50049502417496e-05,-5.653557513193183e-06,2.5699666826258225,-3.5215114789618767,3.0895719256219425,-1.6697905239936628,0.3998203228163181,1.4484931661632532e-05,2.148293832945361e-05,-4.51557447872407e-05,0.5206412814897073,-0.17410886020465582,-0.07080444945412716,-0.32285654190738405,0.3283429075162436,2.330112953036646e-05,3.0629302333299124e-05
4,5,86,"EEG F3-A1",-2.186093880330457e-08,2.2371486848975577,-1.1038504698150347,-0.48462098940956844,0.22898299135442457,0.11987126243418235,9.697315143672948e-06,1.4001350803426925e-05,-1.9299604917846236e-07,3.2350051370076036,-4.061545026354909,2.1487590949221413,-0.134136732912022,-0.20716339086278152,1.3999087945029647e-05,1.9809299045669446e-05,-8.63873434447914e-07,2.9886767042768256,-4.489989126608779,4.303583080021623,-2.5912710497930873,0.7310769574577457,2.008365221298475e-05,2.821503373033411e-05,-1.193886459615227e-05,0.752107517540997,-0.16130276618501888,-0.2640116405000387,-0.1459234652043229,0.318771726433353,3.1806354203537946e-05,4.022988545341767e-05
4,5,86,"EEG T3-A1",-1.139496623980248e-07,1.8417226518464398,-0.3217678560418143,-0.6255445685499552,-0.3197218215217572,0.4199884575136471,3.7000685377461133e-06,6.494899472238484e-06,-8.580757871010314e-07,2.89956584860184,-2.916236598484236,0.5588364681333928,0.9042652730661374,-0.47507627468282987,5.178973470408467e-06,9.132686421762294e-06,-4.28475542080142e-06,2.828665509212054,-4.156890311809216,3.805100566938883,-2.1390899992021786,0.5614075446321176,7.359478808498521e-06,1.276876642600982e-05,-5.6860741091319674e-05,0.5082158996640977,-0.359966228441437,0.09075695833056754,-0.38205724266129004,0.19857554031380853,1.1332808174755809e-05,1.7407219562064125e-05
4,5,86,"EEG C3-A1",-4.682484372698813e-08,2.254721276567583,-1.0587977469873613,-0.6875178510799783,0.458615706155281,0.030352465407041708,9.354909514300896e-06,1.612684362054243e-05,-4.680565089370869e-07,3.183740813373428,-3.8138702356951613,1.7396154384806914,0.15064051549394986,-0.27968435890566834,1.3483339827954899e-05,2.268750843395461e-05,-1.4932598992878278e-06,3.0845526910404,-4.711588174181892,4.527336445750287,-2.7285138130367512,0.7861590465959489,1.8476627173053635e-05,3.167503760282265e-05,-2.740579828578905e-05,0.9351358759821644,-0.5165428299293855,-0.1264009690824844,0.09442146910277072,0.058882031992661926,2.7433519350905373e-05,4.348243390455782e-05
4,5,86,"EEG Oz-A2",-6.878694625395871e-08,1.8705688856199287,-0.3350080914646126,-0.7171239325388526,-0.17797594786708226,0.35635314555665165,5.358579782143309e-06,8.542897422549876e-06,-4.743582955850683e-07,2.9181757219253113,-3.0027744388055417,0.7865573032371671,0.6549454169946536,-0.3731987646371273,7.409455289471302e-06,1.200471339217503e-05,-1.4676256354643946e-06,2.846385638159106,-4.143509471704845,3.8889527000488266,-2.341955767003788,0.7151338654742131,9.895711492505983e-06,1.6723820295575066e-05,-2.270745841897631e-05,0.9564235905176884,-0.5498505163361679,0.18705892258156262,0.11627233128189343,-0.10048949008530493,1.3767116992381222e-05,2.278097588992682e-05
4,5,86,"EEG Fpz-A2",-6.32202518404096e-08,1.8938882124168515,-0.3306150422154374,-0.839292425873757,-0.05560132935302407,0.33012942525279065,7.850101549971602e-06,1.037905490096965e-05,-4.115821395914396e-07,3.004082852271596,-3.287472327680359,1.1895821001013456,0.36105537280375966,-0.2738509150368609,1.1211801798896257e-05,1.4582643630211785e-05,-1.7240606202905332e-06,2.9556341966721913,-4.381837117562314,4.05713159969664,-2.2811875839705276,0.630221732632303,1.4282299387598856e-05,2.0291128084700828e-05,-1.5784085882431443e-05,0.8369825372178812,-0.315088054594976,0.33626847908288293,-0.3934097608698609,0.4036810276441267,1.8395139421193465e-05,2.7613506496378958e-05
4,2,87,"EEG F7-A1",-5.2114925408021104e-08,2.1222979912579896,-0.8315648357163057,-0.762887795890927,0.3503655077194196,0.11564934054150543,5.873482975524538e-06,1.0611264510629907e-05,-1.436951770525525e-07,3.1286948205889615,-3.856708944072383,2.0560324202212152,-0.21066499394294946,-0.13265569789166987,8.232879137014752e-06,1.5290880008280447e-05,-1.524440747453908e-06,2.4697641522886853,-3.486969278161882,3.134635830403484,-1.7186828139956642,0.49615881189395505,1.1965377545588344e-05,2.2252565128472132e-05,-1.2725957063338087e-05,0.19632364963698345,0.15506346683550198,0.2590322567136263,-0.4205122427342174,0.1259061329126787,1.9267948769773853e-05,3.178700674204217e-05
